"","X","curr_name","TOTAGE","preds1","species_code","preds_lm","preds_nls","preds_mixed"
"1",1,"Pacific silver fir",5,0.551942166232316,"AbieAmab",NA,NA,NA
"2",2,"Pacific silver fir",10,1.12236453409314,"AbieAmab",NA,NA,NA
"3",3,"Pacific silver fir",15,1.69997677184036,"AbieAmab",NA,NA,NA
"4",4,"Pacific silver fir",20,2.28230822803253,"AbieAmab",NA,NA,NA
"5",5,"Pacific silver fir",25,2.8681742216598,"AbieAmab",NA,NA,NA
"6",6,"Pacific silver fir",30,3.45687239393245,"AbieAmab",NA,NA,NA
"7",7,"Pacific silver fir",35,4.04793629086018,"AbieAmab",NA,NA,NA
"8",8,"Pacific silver fir",40,4.64103300622713,"AbieAmab",NA,NA,NA
"9",9,"Pacific silver fir",45,5.2359127488375,"AbieAmab",NA,NA,NA
"10",10,"Pacific silver fir",50,5.83238103724841,"AbieAmab",NA,NA,NA
"11",11,"Pacific silver fir",55,6.43028208535123,"AbieAmab",NA,NA,NA
"12",12,"Pacific silver fir",60,7.02948825294565,"AbieAmab",NA,NA,NA
"13",13,"Pacific silver fir",65,7.62989302048973,"AbieAmab",NA,NA,NA
"14",14,"Pacific silver fir",70,8.23140612746323,"AbieAmab",NA,NA,NA
"15",15,"Pacific silver fir",75,8.83395009969342,"AbieAmab",NA,NA,NA
"16",16,"Pacific silver fir",80,9.43745770195883,"AbieAmab",NA,NA,NA
"17",17,"Pacific silver fir",85,10.0418700265157,"AbieAmab",NA,NA,NA
"18",18,"Pacific silver fir",90,10.6471350304986,"AbieAmab",NA,NA,NA
"19",19,"Pacific silver fir",95,11.2532063975663,"AbieAmab",NA,NA,NA
"20",20,"Pacific silver fir",100,11.8600426385429,"AbieAmab",NA,NA,NA
"21",21,"Pacific silver fir",105,12.4676063713812,"AbieAmab",NA,NA,NA
"22",22,"Pacific silver fir",110,13.0758637378232,"AbieAmab",NA,NA,NA
"23",23,"Pacific silver fir",115,13.6847839257467,"AbieAmab",NA,NA,NA
"24",24,"Pacific silver fir",120,14.2943387742725,"AbieAmab",NA,NA,NA
"25",25,"Pacific silver fir",125,14.9045024444305,"AbieAmab",NA,NA,NA
"26",26,"Pacific silver fir",130,15.5152511423054,"AbieAmab",NA,NA,NA
"27",27,"Pacific silver fir",135,16.1265628845978,"AbieAmab",NA,NA,NA
"28",28,"Pacific silver fir",140,16.7384172987666,"AbieAmab",NA,NA,NA
"29",29,"Pacific silver fir",145,17.3507954515975,"AbieAmab",NA,NA,NA
"30",30,"Pacific silver fir",150,17.9636797013099,"AbieAmab",NA,NA,NA
