MapCode,SpeciesName,CohortAge,CohortBiomass
3,PseuMenz,130,690
3,AbieConc,140,120
3,PinuLamb,360,2
3,PseuMenz,300,192
3,PinuPond,120,212
3,PinuLamb,260,120
3,PinuPond,240,80
3,PinuPond,250,19
3,PinuLamb,250,4
3,QuerKell,50,340
3,CaloDecu,30,187
3,QuerChry,40,946
3,AbieConc,40,279
3,PinuPond,180,72
3,AbieConc,240,78
3,PseuMenz,60,127
3,CaloDecu,20,69
3,PseuMenz,430,3
3,PseuMenz,370,2
3,PseuMenz,470,7
3,LithDens,170,142
3,PinuPond,350,106
3,QuerChry,20,62
3,PinuLamb,110,128
3,LithDens,30,38
3,PinuLamb,180,397
3,AbieConc,20,55
3,AbieConc,100,246
3,PinuLamb,50,88
3,PseuMenz,650,4
3,PseuMenz,200,48
3,LithDens,20,32
3,PinuLamb,140,11
3,PseuMenz,440,2
3,AlnuRhom,80,223
3,CaloDecu,60,268
3,PseuMenz,10,11
3,ArbuMenz,180,43
3,PinuPond,80,561
3,PinuLamb,150,48
3,AbieConc,120,320
3,CaloDecu,210,53
3,CaloDecu,180,3
3,QuerChry,70,131
3,PinuLamb,100,3
3,PseuMenz,250,111
3,PseuMenz,380,3
3,AbieConc,10,5
3,AbieConc,200,51
3,PinuLamb,350,2
3,PseuMenz,180,273
3,CaloDecu,160,27
3,PinuPond,140,273
3,CaloDecu,70,202
3,PseuMenz,80,241
3,PseuMenz,280,130
3,PseuMenz,460,15
3,PinuLamb,440,2
3,PinuPond,10,41
3,PinuLamb,490,2
3,PinuLamb,550,11
3,PseuMenz,520,4
3,PinuPond,190,138
3,ArbuMenz,60,106
3,PseuMenz,570,3
3,CaloDecu,110,91
3,QuerKell,30,425
3,PinuPond,70,505
3,LithDens,80,104
3,PinuPond,110,432
3,AcerMacr,30,4
3,CaloDecu,10,59
3,ArbuMenz,190,141
3,PinuLamb,80,96
3,QuerChry,60,234
3,PinuPond,300,2
3,PseuMenz,240,148
3,PinuLamb,90,77
3,QuerChry,50,743
3,QuerWisl,30,52
3,QuerChry,30,420
3,PseuMenz,40,95
3,PinuPond,30,49
3,PseuMenz,410,55
3,PinuLamb,410,6
3,PseuMenz,190,634
3,AbieConc,80,489
3,PinuLamb,280,212
3,PinuPond,260,4
3,PinuLamb,230,187
3,LithDens,50,511
3,CaloDecu,140,120
3,CaloDecu,190,104
3,AlnuRhom,50,117
3,PseuMenz,170,254
3,PseuMenz,340,251
3,PseuMenz,490,4
3,PinuLamb,240,138
3,PinuLamb,310,143
3,AbieConc,180,23
3,AbieConc,160,4
3,QuerKell,10,77
3,PseuMenz,160,219
3,CaloDecu,250,35
3,PinuPond,100,355
3,AbieConc,190,43
3,PseuMenz,70,604
3,PinuPond,60,99
3,PinuLamb,40,46
3,PinuLamb,460,2
3,PinuLamb,20,31
3,PinuLamb,160,32
3,QuerWisl,60,21
3,PinuPond,310,24
3,AbieConc,50,527
3,AlnuRhom,10,2
3,PseuMenz,360,3
3,ArbuMenz,50,125
3,PinuPond,340,102
3,ArbuMenz,20,39
3,QuerWisl,50,87
3,QuerWisl,40,77
3,PinuLamb,210,52
3,LithDens,270,177
3,PinuPond,200,141
3,PseuMenz,50,534
3,PseuMenz,140,1455
3,PinuPond,210,136
3,PinuPond,130,153
3,PinuLamb,190,51
3,PseuMenz,230,424
3,AbieConc,170,43
3,ArbuMenz,340,1
3,PinuPond,460,5
3,PseuMenz,210,273
3,CaloDecu,230,19
3,PinuLamb,330,1
3,PinuLamb,30,27
3,PseuMenz,220,142
3,CaloDecu,100,3
3,ArbuMenz,70,385
3,PinuPond,430,1
3,CaloDecu,120,212
3,PinuSabi,10,2
3,PseuMenz,390,2
3,PinuLamb,130,17
3,CaloDecu,40,138
3,PseuMenz,310,59
3,PinuPond,160,52
3,PseuMenz,110,514
3,PseuMenz,270,59
3,PinuLamb,530,1
3,PinuPond,150,41
3,AlnuRhom,60,11
3,PinuPond,20,27
3,PinuLamb,10,30
3,LithDens,40,111
3,PinuPond,280,45
3,CaloDecu,130,134
3,AbieConc,110,59
3,PseuMenz,150,309
3,ArbuMenz,30,10
3,PinuLamb,200,3
3,AbieConc,130,184
3,PseuMenz,590,1
3,PinuLamb,220,1
3,PseuMenz,320,80
3,PinuLamb,380,1
3,PseuMenz,120,675
3,AlnuRhom,70,30
3,PinuLamb,340,5
3,PseuMenz,480,154
3,PinuLamb,520,3
3,PinuLamb,300,138
3,PinuPond,50,253
3,PseuMenz,20,12
3,PseuMenz,350,5
3,QuerKell,40,251
3,PseuMenz,90,717
3,ArbuMenz,230,204
3,ArbuMenz,80,18
3,PinuLamb,420,1
3,PseuMenz,330,67
3,PseuMenz,530,1
3,QuerWisl,20,9
3,PinuPond,270,128
3,PinuPond,40,237
3,PinuLamb,170,79
3,AbieConc,90,298
3,PinuPond,170,204
3,PinuLamb,370,1
3,CaloDecu,280,108
3,CaloDecu,170,102
3,QuerKell,20,147
3,PseuMenz,30,35
3,ArbuMenz,220,19
3,PseuMenz,260,27
3,AbieConc,30,115
3,AlnuRhom,30,90
3,AbieConc,60,306
3,PinuLamb,70,19
3,LithDens,60,459
3,PinuLamb,120,136
3,PinuPond,400,15
3,PinuPond,90,407
3,AbieConc,70,347
3,LithDens,190,39
3,PseuMenz,100,280
3,AlnuRhom,40,328
3,ArbuMenz,350,55
3,CaloDecu,50,355
3,LithDens,70,673
