MapCode,SpeciesName,CohortAge,CohortBiomass
3,PinuLamb,260,128
3,PseuMenz,260,122
3,PseuMenz,160,195
3,PseuMenz,120,280
3,PseuMenz,100,203
3,PseuMenz,90,160
3,PseuMenz,80,117
3,AbieConc,180,158
3,AbieConc,170,173
3,AbieConc,160,119
3,AbieConc,150,173
3,AbieConc,140,140
3,AbieConc,130,222
3,AbieConc,120,165
3,AbieConc,110,205
3,AbieConc,100,377
3,AbieConc,90,666
3,AbieConc,80,587
3,AbieConc,70,286
3,AbieConc,50,439
3,AbieConc,40,459
3,AbieConc,30,292
3,AbieConc,20,139
3,AbieMagn,130,178
3,AbieMagn,100,189
3,AbieMagn,90,185
3,AbieMagn,80,410
3,AbieMagn,70,313
3,AbieMagn,60,212
3,AbieMagn,50,487
3,AbieMagn,40,857
3,AbieMagn,30,193
3,AbieMagn,20,114
3,CaloDecu,120,263
3,CaloDecu,70,271
3,CaloDecu,60,556
3,CaloDecu,50,150
3,CaloDecu,40,101
3,QuerChry,90,212
3,QuerChry,80,2055
3,QuerChry,70,3147
3,QuerChry,60,4129
3,QuerChry,50,2122
3,QuerChry,40,787
3,QuerChry,30,343
3,QuerChry,20,121
3,PinuMont,70,296
3,PinuMont,50,309
3,PinuMont,40,307
3,AcerMacr,70,150
3,UmbeCali,50,165
