"","CN","PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","SUBP","CONDID","SPCD","SPGRPCD","STOCKING","TREECOUNT","TOTAGE","TREECOUNT_CALC","TPA_UNADJ","CYCLE","SUBCYCLE","DAMAGE_AGENT_CD1_SRS","PCT_AFFECTED_DAMAGE_AGENT1_SRS","DAMAGE_AGENT_CD2_SRS","PCT_AFFECTED_DAMAGE_AGENT2_SRS","DAMAGE_AGENT_CD3_SRS","PCT_AFFECTED_DAMAGE_AGENT3_SRS","AGECD_RMRS","COUNTCHKCD_RMRS"
"1",55294502010661,55294418010661,2000,26,3,133,20123,4,2,746,37,0.0001,4,NA,4,299.86113,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"2",55304564010661,55304506010661,2000,26,3,135,29029,2,1,746,37,0.0007,1,NA,1,74.965282,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"3",54570972010661,54570952010661,2000,26,2,13,20484,1,1,12,6,0.0001,6,NA,6,449.791695,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"4",54570974010661,54570952010661,2000,26,2,13,20484,2,2,12,6,0.0017,1,NA,1,74.965282,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"5",54570978010661,54570952010661,2000,26,2,13,20484,3,1,12,6,0.0069,12,NA,12,899.583389,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"6",54570980010661,54570952010661,2000,26,2,13,20484,4,1,12,6,0.0029,5,NA,5,374.826412,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"7",54996909010661,54996840010661,2000,26,2,103,20871,4,1,12,6,0.0004,1,NA,1,74.965282,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"8",55059530010661,55059441010661,2000,26,1,109,20252,1,1,746,37,0.1158,2,NA,2,149.930565,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"9",55059517010661,55059441010661,2000,26,1,109,20252,1,1,12,6,0.1009,3,NA,3,224.895847,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"10",55059533010661,55059441010661,2000,26,1,109,20252,3,3,12,6,0.0001,5,NA,5,374.826412,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"11",55059536010661,55059441010661,2000,26,1,109,20252,4,1,12,6,0.0067,10,NA,10,749.652825,6,1,NA,NA,NA,NA,NA,NA,NA,NA
