"","CN","PLT_CN","PREV_SIT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CYCLE","SUBCYCLE","AGECHKCD_RMRS","AGE_DETERMINATION_METHOD_PNWRS","CCLCD_RMRS","DAMAGE_AGENT_CD1_RMRS","DAMAGE_AGENT_CD2_RMRS","DAMAGE_AGENT_CD3_RMRS","SIBASE_AGE_PNWRS","SITETRCD_RMRS","SITE_AGE_TREE_STATUS_PNWRS","SITE_AGE_TREE_TYPE_PNWRS","SITE_TREE_METHOD_PNWRS","SITREE_EQU_NO_PNWRS","TREECLCD_RMRS","TREE_ACT_RMRS","YEAR_AGE_TAKEN","SIEQN_REF_CD","SITREE_FVS","SIBASE_FVS","SIEQN_REF_CD_FVS"
"1",54963475010661,54963448010661,NA,2000,26,2,103,20436,1,1,12,7.5,41,45,6,38,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",54691770010661,54691760010661,NA,2000,26,2,53,20103,1,1,12,9.4,76,75,6,56,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",54755515010661,54755481010661,NA,2000,26,2,71,20031,3,2,12,9.8,67,45,6,64,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",54755513010661,54755481010661,NA,2000,26,2,71,20031,2,2,12,9.8,67,45,6,64,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",54755509010661,54755481010661,NA,2000,26,2,71,20031,1,2,12,9.8,67,45,6,64,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",62225952010661,62225926010661,NA,2000,26,3,165,20210,1,2,12,8.7,52,54,6,43,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",54552869010661,54552863010661,NA,2000,26,4,5,20117,1,1,746,10.9,83,58,37,75,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",54625088010661,54625076010661,NA,2000,26,1,41,20182,1,1,12,6.8,43,65,6,32,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",55358887010661,55358866010661,NA,2000,26,3,143,20057,1,2,12,7.6,50,54,6,42,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",55358885010661,55358866010661,NA,2000,26,3,143,20057,1,1,12,7.4,52,49,6,46,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",55067728010661,55067705010661,NA,2000,26,1,109,20152,1,1,746,6.4,49,23,37,73,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",55096020010661,55095982010661,NA,2000,26,1,109,20509,1,2,12,8.8,66,59,6,54,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",54641880010661,54641867010661,NA,2000,26,2,43,20158,2,1,746,11.3,67,43,37,69,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",54642854010661,54642843010661,NA,2000,26,2,43,20028,1,1,746,NA,NA,NA,37,67,50,NA,NA,NA,3,67,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",54559105010661,54559099010661,NA,2000,26,3,7,20207,1,1,12,7.2,49,59,6,39,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",54559454010661,54559448010661,NA,2000,26,3,7,20210,1,1,746,1.9,22,15,37,59,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",55354403010661,55354378010661,NA,2000,26,3,141,20249,1,1,12,7.9,55,54,6,46,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",54620767010661,54620756010661,NA,2000,26,1,41,29003,1,2,12,7.3,43,22,6,67,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",54646107010661,54646093010661,NA,2000,26,2,43,20218,2,1,746,NA,NA,NA,37,67,50,NA,NA,NA,3,67,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",54648450010661,54648436010661,NA,2000,26,2,43,20280,1,1,746,9.5,68,30,37,84,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",54650845010661,54650816010661,NA,2000,26,2,43,20357,3,5,12,3.1,20,13,6,42,50,4,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",54619931010661,54619912010661,NA,2000,26,1,41,20115,2,4,12,9,55,65,6,42,50,3,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",54681291010661,54681278010661,NA,2000,26,2,53,20360,1,1,12,12.4,63,56,6,52,50,1,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",54670071010661,54670048010661,NA,2000,26,2,53,20127,2,2,746,7.2,67,28,37,86,50,2,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
